# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    321.6;         ;     500.00;    0.142506;    -1207.454118;    -1207.311612;                ;          
         1;          0.5;    250.6;     88.6;     488.84;    0.139325;    -1207.450538;    -1207.311213;    -1207.311380;      0.00
         2;          1.0;    190.1;     88.7;     459.97;    0.131096;    -1207.441584;    -1207.310488;    -1207.311256;      0.22
         3;          1.5;    250.5;     87.6;     420.59;    0.119872;    -1207.428990;    -1207.309117;    -1207.311077;      0.53
         4;          2.0;    249.5;     88.5;     380.09;    0.108330;    -1207.415447;    -1207.307117;    -1207.310875;      0.89
         5;          2.5;    265.6;     88.9;     348.31;    0.099274;    -1207.403972;    -1207.304697;    -1207.310731;      1.14
         6;          3.0;    266.8;     89.0;     331.64;    0.094521;    -1207.396678;    -1207.302157;    -1207.310716;      1.17
         7;          3.5;    248.2;     89.7;     329.93;    0.094036;    -1207.393751;    -1207.299716;    -1207.310826;      0.97
         8;          4.0;    229.7;     88.7;     336.69;    0.095962;    -1207.393393;    -1207.297431;    -1207.310991;      0.68
         9;          4.5;    230.6;     88.2;     342.49;    0.097615;    -1207.392821;    -1207.295206;    -1207.311128;      0.44
        10;          5.0;    231.8;     90.0;     339.47;    0.096752;    -1207.389604;    -1207.292852;    -1207.311182;      0.35
        11;          5.5;    232.7;     90.0;     324.18;    0.092395;    -1207.382564;    -1207.290168;    -1207.311136;      0.43
        12;          6.0;    233.7;     90.3;     298.46;    0.085065;    -1207.372074;    -1207.287009;    -1207.311000;      0.67
        13;          6.5;    211.4;     90.6;     268.65;    0.076569;    -1207.359918;    -1207.283349;    -1207.310811;      1.00
        14;          7.0;    191.7;     90.0;     243.93;    0.069523;    -1207.348831;    -1207.279308;    -1207.310611;      1.35
        15;          7.5;    252.8;     90.1;     233.59;    0.066575;    -1207.341745;    -1207.275170;    -1207.310469;      1.60
        16;          8.0;    235.7;     90.3;     243.87;    0.069507;    -1207.340809;    -1207.271302;    -1207.310443;      1.64
        17;          8.5;    232.4;     90.4;     275.22;    0.078440;    -1207.346470;    -1207.268030;    -1207.310543;      1.47
        18;          9.0;    251.4;     90.0;     321.48;    0.091625;    -1207.357154;    -1207.265529;    -1207.310720;      1.16
        19;          9.5;    257.4;     90.4;     372.41;    0.106141;    -1207.369937;    -1207.263796;    -1207.310901;      0.84
        20;         10.0;    252.6;     90.6;     417.61;    0.119025;    -1207.381720;    -1207.262695;    -1207.311036;      0.60
        21;         10.5;    253.6;     90.2;     449.45;    0.128098;    -1207.390111;    -1207.262013;    -1207.311113;      0.47
        22;         11.0;    234.8;     90.4;     463.93;    0.132225;    -1207.393719;    -1207.261494;    -1207.311134;      0.43
        23;         11.5;    254.3;     90.8;     460.57;    0.131268;    -1207.392135;    -1207.260867;    -1207.311099;      0.49
        24;         12.0;    253.6;     90.2;     442.26;    0.126050;    -1207.385945;    -1207.259895;    -1207.310993;      0.68
        25;         12.5;    253.5;     90.9;     415.42;    0.118401;    -1207.376851;    -1207.258450;    -1207.310817;      0.99
        26;         13.0;    258.6;     90.7;     389.42;    0.110990;    -1207.367582;    -1207.256592;    -1207.310618;      1.34
        27;         13.5;    254.2;     90.9;     373.86;    0.106554;    -1207.361127;    -1207.254572;    -1207.310490;      1.56
        28;         14.0;    254.2;     90.6;     374.13;    0.106631;    -1207.359338;    -1207.252707;    -1207.310513;      1.52
        29;         14.5;    274.6;     90.9;     387.94;    0.110568;    -1207.361760;    -1207.251192;    -1207.310678;      1.23
        30;         15.0;    275.1;     90.9;     406.10;    0.115745;    -1207.365742;    -1207.249997;    -1207.310892;      0.86
        31;         15.5;    237.2;     90.6;     417.27;    0.118927;    -1207.367837;    -1207.248910;    -1207.311046;      0.59
        32;         16.0;    277.7;     94.5;     413.22;    0.117773;    -1207.365421;    -1207.247648;    -1207.311086;      0.52
        33;         16.5;    273.7;     89.8;     391.89;    0.111695;    -1207.357636;    -1207.245941;    -1207.311001;      0.67
        34;         17.0;    286.3;     88.8;     357.61;    0.101925;    -1207.345548;    -1207.243623;    -1207.310819;      0.99
        35;         17.5;    252.9;     90.0;     319.45;    0.091047;    -1207.331732;    -1207.240685;    -1207.310589;      1.39
        36;         18.0;    251.8;     89.9;     288.34;    0.082181;    -1207.319484;    -1207.237303;    -1207.310382;      1.75
        37;         18.5;    191.4;     89.8;     273.71;    0.078012;    -1207.311798;    -1207.233787;    -1207.310260;      1.96
        38;         19.0;    271.2;     88.9;     280.22;    0.079866;    -1207.310368;    -1207.230503;    -1207.310273;      1.94
        39;         19.5;    270.5;     90.2;     305.99;    0.087212;    -1207.314930;    -1207.227718;    -1207.310399;      1.72
        40;         20.0;    251.3;     90.4;     343.43;    0.097883;    -1207.323420;    -1207.225537;    -1207.310566;      1.43
        41;         20.5;    289.6;     90.2;     382.49;    0.109015;    -1207.332934;    -1207.223919;    -1207.310710;      1.17
        42;         21.0;    274.0;     90.0;     414.50;    0.118138;    -1207.340862;    -1207.222724;    -1207.310798;      1.02
        43;         21.5;    235.4;     90.2;     434.27;    0.123772;    -1207.345538;    -1207.221766;    -1207.310827;      0.97
        44;         22.0;    193.4;     90.0;     440.22;    0.125468;    -1207.346294;    -1207.220826;    -1207.310783;      1.05
        45;         22.5;    256.2;     89.0;     433.69;    0.123607;    -1207.343359;    -1207.219751;    -1207.310703;      1.19
        46;         23.0;    291.8;     89.1;     418.89;    0.119389;    -1207.337792;    -1207.218402;    -1207.310571;      1.42
        47;         23.5;    291.3;     89.6;     402.95;    0.114847;    -1207.331620;    -1207.216773;    -1207.310397;      1.72
        48;         24.0;    272.7;     90.6;     394.48;    0.112433;    -1207.327470;    -1207.215037;    -1207.310245;      1.99
        49;         24.5;    273.9;     90.9;     400.31;    0.114093;    -1207.327589;    -1207.213496;    -1207.310199;      2.07
        50;         25.0;    273.6;     90.4;     421.60;    0.120161;    -1207.332581;    -1207.212421;    -1207.310299;      1.90
        51;         25.5;    235.3;     90.2;     452.28;    0.128907;    -1207.340812;    -1207.211906;    -1207.310500;      1.54
        52;         26.0;    236.3;     90.0;     481.49;    0.137231;    -1207.349063;    -1207.211832;    -1207.310704;      1.19
        53;         26.5;    236.2;     90.5;     498.62;    0.142112;    -1207.354041;    -1207.211929;    -1207.310822;      0.98
        54;         27.0;    235.5;     90.2;     497.89;    0.141905;    -1207.353793;    -1207.211888;    -1207.310813;      1.00
        55;         27.5;    235.3;     90.2;     480.24;    0.136874;    -1207.348343;    -1207.211469;    -1207.310689;      1.21
        56;         28.0;    235.2;     89.5;     452.36;    0.128928;    -1207.339493;    -1207.210565;    -1207.310501;      1.54
        57;         28.5;    239.3;     90.3;     423.98;    0.120841;    -1207.330074;    -1207.209233;    -1207.310309;      1.88
        58;         29.0;    234.1;     89.4;     404.58;    0.115310;    -1207.322974;    -1207.207664;    -1207.310171;      2.12
        59;         29.5;    254.1;     89.7;     400.43;    0.114127;    -1207.320251;    -1207.206124;    -1207.310125;      2.20
        60;         30.0;    273.6;     89.9;     412.76;    0.117642;    -1207.322514;    -1207.204872;    -1207.310182;      2.10
        61;         30.5;    274.5;     90.5;     437.56;    0.124711;    -1207.328775;    -1207.204064;    -1207.310310;      1.88
        62;         31.0;    273.9;     90.5;     467.45;    0.133230;    -1207.336943;    -1207.203713;    -1207.310447;      1.64
        63;         31.5;    235.2;     89.8;     494.75;    0.141011;    -1207.344740;    -1207.203729;    -1207.310542;      1.47
        64;         32.0;    254.3;     89.3;     514.06;    0.146514;    -1207.350494;    -1207.203980;    -1207.310582;      1.40
        65;         32.5;    273.0;     90.3;     522.96;    0.149051;    -1207.353376;    -1207.204325;    -1207.310583;      1.40
        66;         33.0;    272.1;     90.6;     521.60;    0.148662;    -1207.353285;    -1207.204623;    -1207.310557;      1.44
        67;         33.5;    271.2;     90.3;     512.17;    0.145975;    -1207.350717;    -1207.204742;    -1207.310493;      1.56
        68;         34.0;    287.8;     90.7;     498.92;    0.142199;    -1207.346816;    -1207.204617;    -1207.310384;      1.75
        69;         34.5;    287.7;     90.0;     488.00;    0.139085;    -1207.343392;    -1207.204307;    -1207.310255;      1.97
        70;         35.0;    270.8;     89.0;     485.96;    0.138504;    -1207.342513;    -1207.204009;    -1207.310167;      2.13
        71;         35.5;    268.6;     88.8;     496.71;    0.141569;    -1207.345547;    -1207.203979;    -1207.310186;      2.09
        72;         36.0;    235.2;     88.9;     518.60;    0.147809;    -1207.352205;    -1207.204396;    -1207.310324;      1.85
        73;         36.5;    275.1;     89.4;     544.15;    0.155091;    -1207.360349;    -1207.205258;    -1207.310524;      1.50
        74;         37.0;    270.4;     90.7;     563.20;    0.160520;    -1207.366887;    -1207.206367;    -1207.310685;      1.22
        75;         37.5;    277.3;     89.9;     567.47;    0.161737;    -1207.369181;    -1207.207444;    -1207.310750;      1.11
        76;         38.0;    253.9;     88.7;     553.91;    0.157872;    -1207.366080;    -1207.208208;    -1207.310705;      1.18
        77;         38.5;    255.1;     89.2;     525.33;    0.149727;    -1207.358181;    -1207.208454;    -1207.310571;      1.42
        78;         39.0;    252.5;     89.8;     488.68;    0.139281;    -1207.347395;    -1207.208115;    -1207.310401;      1.72
        79;         39.5;    192.2;     88.7;     452.54;    0.128980;    -1207.336209;    -1207.207229;    -1207.310228;      2.02
        80;         40.0;    254.3;     89.6;     424.54;    0.120998;    -1207.326979;    -1207.205981;    -1207.310111;      2.23
        81;         40.5;    268.1;     90.2;     409.52;    0.116718;    -1207.321303;    -1207.204585;    -1207.310073;      2.29
        82;         41.0;    250.2;     89.4;     408.41;    0.116401;    -1207.319652;    -1207.203251;    -1207.310113;      2.22
        83;         41.5;    252.4;     88.7;     418.10;    0.119164;    -1207.321272;    -1207.202108;    -1207.310199;      2.07
        84;         42.0;    253.9;     89.2;     433.01;    0.123413;    -1207.324604;    -1207.201191;    -1207.310287;      1.92
        85;         42.5;    250.7;     90.0;     447.40;    0.127514;    -1207.327976;    -1207.200462;    -1207.310347;      1.81
        86;         43.0;    237.0;     89.5;     457.21;    0.130311;    -1207.330159;    -1207.199848;    -1207.310375;      1.76
        87;         43.5;    251.4;     88.9;     460.66;    0.131294;    -1207.330549;    -1207.199255;    -1207.310371;      1.77
        88;         44.0;    285.4;     88.5;     457.99;    0.130534;    -1207.329124;    -1207.198590;    -1207.310337;      1.83
        89;         44.5;    251.3;     89.6;     451.32;    0.128633;    -1207.326425;    -1207.197793;    -1207.310269;      1.95
        90;         45.0;    249.8;     89.6;     444.60;    0.126717;    -1207.323579;    -1207.196862;    -1207.310170;      2.12
        91;         45.5;    251.6;     88.7;     442.92;    0.126237;    -1207.322150;    -1207.195913;    -1207.310077;      2.29
        92;         46.0;    251.3;     89.3;     450.68;    0.128450;    -1207.323586;    -1207.195136;    -1207.310040;      2.35
        93;         46.5;    232.0;     89.9;     469.18;    0.133721;    -1207.328445;    -1207.194724;    -1207.310090;      2.26
        94;         47.0;    246.3;     88.9;     495.23;    0.141147;    -1207.335924;    -1207.194777;    -1207.310215;      2.04
        95;         47.5;    274.0;     88.8;     522.04;    0.148788;    -1207.344048;    -1207.195259;    -1207.310367;      1.78
        96;         48.0;    253.5;     89.2;     541.93;    0.154457;    -1207.350457;    -1207.196000;    -1207.310478;      1.58
