# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    169.8;         ;     500.00;    0.090254;     -772.175517;     -772.085263;                ;          
         1;          0.5;    121.3;     45.7;     487.54;    0.088005;     -772.172232;     -772.084227;     -772.084345;      0.00
         2;          1.0;    121.9;     46.0;     460.16;    0.083062;     -772.166837;     -772.083775;     -772.084272;      0.20
         3;          1.5;    120.1;     46.0;     428.87;    0.077415;     -772.160445;     -772.083030;     -772.084202;      0.40
         4;          2.0;    131.0;     46.1;     399.30;    0.072077;     -772.154094;     -772.082017;     -772.084146;      0.55
         5;          2.5;    120.1;     45.8;     375.51;    0.067783;     -772.148583;     -772.080800;     -772.084112;      0.65
         6;          3.0;    131.4;     47.7;     359.59;    0.064909;     -772.144368;     -772.079459;     -772.084105;      0.67
         7;          3.5;    130.9;     45.0;     351.41;    0.063433;     -772.141499;     -772.078066;     -772.084124;      0.61
         8;          4.0;    109.5;     46.4;     348.55;    0.062916;     -772.139595;     -772.076679;     -772.084175;      0.47
         9;          4.5;    131.5;     45.6;     346.98;    0.062632;     -772.137920;     -772.075288;     -772.084238;      0.30
        10;          5.0;    139.7;     45.3;     342.04;    0.061741;     -772.135572;     -772.073831;     -772.084282;      0.18
        11;          5.5;    132.2;     45.9;     330.13;    0.059591;     -772.131816;     -772.072225;     -772.084290;      0.15
        12;          6.0;    141.1;     45.4;     310.79;    0.056101;     -772.126481;     -772.070380;     -772.084242;      0.29
        13;          6.5;    141.5;     46.1;     288.05;    0.051996;     -772.120260;     -772.068265;     -772.084140;      0.57
        14;          7.0;    140.1;     44.5;     270.12;    0.048758;     -772.114714;     -772.065956;     -772.084015;      0.91
        15;          7.5;    140.5;     46.1;     266.57;    0.048119;     -772.111771;     -772.063653;     -772.083930;      1.15
        16;          8.0;    140.9;     45.0;     283.58;    0.051189;     -772.112798;     -772.061609;     -772.083943;      1.12
        17;          8.5;    126.8;     45.6;     319.51;    0.057675;     -772.117683;     -772.060009;     -772.084057;      0.80
        18;          9.0;    121.4;     46.0;     364.66;    0.065825;     -772.124704;     -772.058879;     -772.084213;      0.37
        19;          9.5;    120.2;     46.0;     405.99;    0.073284;     -772.131392;     -772.058108;     -772.084335;      0.03
        20;         10.0;    121.4;     45.6;     433.31;    0.078217;     -772.135737;     -772.057520;     -772.084381;     -0.10
        21;         10.5;    121.7;     45.7;     442.88;    0.079943;     -772.136892;     -772.056950;     -772.084353;     -0.02
        22;         11.0;    122.1;     46.2;     437.05;    0.078892;     -772.135172;     -772.056280;     -772.084281;      0.18
        23;         11.5;    141.3;     47.5;     421.97;    0.076168;     -772.131624;     -772.055456;     -772.084198;      0.41
        24;         12.0;    141.0;     45.7;     404.78;    0.073067;     -772.127545;     -772.054478;     -772.084126;      0.61
        25;         12.5;    142.0;     46.2;     391.79;    0.070721;     -772.124121;     -772.053400;     -772.084075;      0.75
        26;         13.0;    140.0;     46.0;     387.24;    0.069901;     -772.122207;     -772.052306;     -772.084053;      0.81
        27;         13.5;     88.6;     57.8;     392.97;    0.070933;     -772.122197;     -772.051263;     -772.084027;      0.88
        28;         14.0;    141.2;     45.8;     407.65;    0.073585;     -772.123993;     -772.050408;     -772.084049;      0.82
        29;         14.5;    111.6;     45.9;     427.30;    0.077131;     -772.126929;     -772.049797;     -772.084129;      0.60
        30;         15.0;    142.6;     45.6;     446.35;    0.080569;     -772.129953;     -772.049384;     -772.084225;      0.33
        31;         15.5;    133.2;     46.0;     458.47;    0.082757;     -772.131817;     -772.049060;     -772.084296;      0.14
        32;         16.0;    132.5;     45.5;     458.48;    0.082760;     -772.131457;     -772.048697;     -772.084327;      0.05
        33;         16.5;    132.6;     46.0;     444.63;    0.080260;     -772.128403;     -772.048143;     -772.084299;      0.13
        34;         17.0;    123.2;     46.4;     420.05;    0.075822;     -772.123115;     -772.047294;     -772.084209;      0.38
        35;         17.5;    132.0;     45.6;     392.78;    0.070899;     -772.117044;     -772.046145;     -772.084080;      0.74
        36;         18.0;    111.2;     46.4;     373.34;    0.067392;     -772.112227;     -772.044835;     -772.083973;      1.03
        37;         18.5;    122.3;     45.9;     370.45;    0.066869;     -772.110448;     -772.043579;     -772.083947;      1.10
        38;         19.0;    123.1;     46.2;     386.30;    0.069730;     -772.112294;     -772.042565;     -772.084013;      0.92
        39;         19.5;    123.3;     45.3;     414.90;    0.074893;     -772.116780;     -772.041888;     -772.084145;      0.56
        40;         20.0;    143.8;     46.8;     445.16;    0.080356;     -772.121850;     -772.041495;     -772.084273;      0.20
        41;         20.5;    144.9;     45.5;     466.51;    0.084209;     -772.125454;     -772.041244;     -772.084341;      0.01
        42;         21.0;    143.5;     46.4;     473.38;    0.085450;     -772.126434;     -772.040985;     -772.084334;      0.03
