epoch, batch, loss, loss_f, f_mae, f_rmse
    1,     1,          0.67729,          0.67729,            20.64,           25.924
    1,     2,           1.5357,           1.5357,           25.453,           39.036
    1,     3,          0.82724,          0.82724,           21.788,            28.65
    1,     4,           1.1548,           1.1548,           26.179,            33.85
    1,     5,          0.51737,          0.51737,           17.258,           22.657
    2,     1,           1.4316,           1.4316,           24.761,            37.69
    2,     2,          0.57984,          0.57984,            19.03,           23.986
    2,     3,           1.0457,           1.0457,           24.815,           32.211
    2,     4,          0.48695,          0.48695,             16.4,           21.981
    2,     5,          0.64304,          0.64304,            19.28,           25.259
    3,     1,           0.5217,           0.5217,           18.125,           22.752
    3,     2,           1.2885,           1.2885,           23.755,           35.756
    3,     3,          0.44933,          0.44933,           15.207,           21.115
    3,     4,           0.8304,           0.8304,            22.33,           28.705
    3,     5,          0.47069,          0.47069,           16.696,           21.611
    4,     1,          0.72941,          0.72941,           21.139,           26.902
    4,     2,          0.43339,          0.43339,           16.167,           20.737
    4,     3,          0.42251,          0.42251,           14.357,           20.475
    4,     4,          0.33767,          0.33767,           13.904,           18.304
    4,     5,            1.094,            1.094,           21.808,           32.946
    5,     1,          0.26985,          0.26985,           12.391,           16.363
    5,     2,           0.4627,           0.4627,           16.495,           21.427
    5,     3,          0.40125,          0.40125,           14.605,           19.953
    5,     4,          0.97881,          0.97881,           20.128,           31.164
    5,     5,          0.45651,          0.45651,           14.591,           21.283
    6,     1,          0.43995,          0.43995,           14.314,           20.893
    6,     2,          0.37471,          0.37471,           14.147,           19.282
    6,     3,          0.30651,          0.30651,            13.66,           17.439
    6,     4,          0.86414,          0.86414,           18.534,           29.282
    6,     5,          0.21466,          0.21466,           11.796,           14.594
    7,     1,          0.31249,          0.31249,           12.108,           17.609
    7,     2,           0.1771,           0.1771,           11.007,           13.256
    7,     3,          0.29113,          0.29113,           12.978,           16.996
    7,     4,          0.32092,          0.32092,           14.633,           17.845
    7,     5,            0.758,            0.758,           18.047,           27.425
    8,     1,          0.27529,          0.27529,           12.676,           16.527
    8,     2,          0.69222,          0.69222,           17.087,           26.208
    8,     3,          0.16925,          0.16925,           10.261,           12.959
    8,     4,          0.30422,          0.30422,           12.491,           17.374
    8,     5,           0.2115,           0.2115,            11.24,           14.487
    9,     1,          0.19897,          0.19897,           10.844,           14.051
    9,     2,          0.30357,          0.30357,           11.734,           17.355
    9,     3,          0.54233,          0.54233,            15.55,           23.197
    9,     4,          0.13253,          0.13253,           9.1672,           11.468
    9,     5,          0.34423,          0.34423,           13.781,           18.481
   10,     1,          0.48662,          0.48662,           15.152,           21.974
   10,     2,           0.3252,           0.3252,           13.575,           17.963
   10,     3,          0.10018,          0.10018,           7.9761,           9.9699
   10,     4,          0.14499,          0.14499,           9.5118,           11.995
   10,     5,          0.28072,          0.28072,           11.025,           16.689
