epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,  281.649,    0.005,          0.26243,        0.0022127,          0.26464,       0.0122,       0.0194,      0.00723,       0.0163,        0.019,       0.0133,       0.0139,       0.0109,       0.0252,        0.027,       0.0202,       0.0208,       0.0619,      0.00103,         0.050755,       1.4365e-05,         0.050769,      0.00595,      0.00854,      0.00384,      0.00919,      0.00868,       0.0062,      0.00698,      0.00503,       0.0112,       0.0118,      0.00774,      0.00894,      0.00732,     0.000122
         2,  526.310,    0.005,         0.031473,        6.744e-05,         0.031541,      0.00486,      0.00673,      0.00347,      0.00687,      0.00666,      0.00506,      0.00551,      0.00456,      0.00856,      0.00891,      0.00636,       0.0071,        0.015,      0.00025,         0.022113,       6.1475e-06,         0.022119,      0.00404,      0.00563,      0.00296,      0.00575,      0.00543,      0.00422,      0.00459,       0.0039,      0.00727,       0.0074,      0.00521,      0.00594,      0.00458,     7.63e-05
         3,  771.346,    0.005,         0.018432,       5.4485e-05,         0.018486,      0.00374,      0.00514,      0.00283,      0.00502,      0.00493,      0.00381,      0.00415,      0.00377,       0.0062,      0.00662,      0.00482,      0.00535,       0.0133,     0.000222,         0.013941,       4.6255e-06,         0.013946,      0.00322,      0.00447,       0.0025,      0.00435,      0.00415,      0.00324,      0.00356,      0.00331,      0.00541,      0.00574,       0.0041,      0.00464,      0.00384,     6.39e-05
         4, 1014.792,    0.005,         0.012965,       4.2792e-05,         0.013008,      0.00315,      0.00432,      0.00246,      0.00419,      0.00402,      0.00329,      0.00349,      0.00329,      0.00516,      0.00543,      0.00417,      0.00451,       0.0117,     0.000196,         0.010066,       3.2447e-06,         0.010069,      0.00271,       0.0038,      0.00218,      0.00365,      0.00339,      0.00277,        0.003,      0.00292,      0.00461,      0.00477,      0.00355,      0.00396,      0.00322,     5.37e-05
         5, 1257.893,    0.005,         0.010943,       4.5659e-05,         0.010989,      0.00288,      0.00396,      0.00234,      0.00379,      0.00361,      0.00277,      0.00313,      0.00315,       0.0047,      0.00491,      0.00359,      0.00408,       0.0124,     0.000206,         0.007977,       2.4255e-06,        0.0079794,      0.00239,      0.00338,      0.00195,       0.0033,      0.00294,      0.00239,      0.00264,      0.00265,      0.00416,      0.00421,      0.00311,      0.00353,      0.00295,     4.92e-05
         6, 1500.260,    0.005,        0.0086531,       3.1875e-05,         0.008685,      0.00253,      0.00353,        0.002,      0.00343,      0.00322,      0.00248,      0.00278,      0.00275,      0.00425,      0.00441,      0.00325,      0.00366,      0.00903,     0.000151,        0.0066375,       2.0769e-06,        0.0066395,      0.00217,      0.00309,       0.0018,      0.00298,      0.00265,      0.00209,      0.00238,      0.00247,      0.00377,       0.0038,      0.00275,       0.0032,      0.00256,     4.27e-05
         7, 1742.659,    0.005,        0.0073794,        2.552e-05,        0.0074049,      0.00235,      0.00326,      0.00192,      0.00291,      0.00293,      0.00233,      0.00252,      0.00265,      0.00364,      0.00398,      0.00308,      0.00334,      0.00904,     0.000151,        0.0056155,       1.5551e-06,        0.0056171,      0.00198,      0.00284,      0.00166,      0.00264,      0.00243,      0.00185,      0.00214,      0.00231,      0.00338,      0.00347,      0.00247,      0.00291,      0.00224,     3.73e-05
         8, 1985.037,    0.005,        0.0070512,        2.236e-05,        0.0070736,      0.00229,      0.00319,       0.0019,      0.00275,      0.00282,       0.0022,      0.00242,      0.00264,      0.00349,      0.00385,      0.00297,      0.00324,      0.00805,     0.000134,        0.0048802,       1.3361e-06,        0.0048816,      0.00185,      0.00265,      0.00155,      0.00231,      0.00226,      0.00169,      0.00195,      0.00219,      0.00301,      0.00322,      0.00228,      0.00267,      0.00201,     3.35e-05
         9, 2227.336,    0.005,        0.0062814,       2.4529e-05,        0.0063059,      0.00213,        0.003,      0.00178,      0.00235,      0.00262,       0.0021,      0.00221,      0.00255,      0.00306,      0.00357,      0.00283,        0.003,      0.00899,      0.00015,        0.0042798,       1.1367e-06,         0.004281,      0.00172,      0.00248,      0.00145,      0.00205,       0.0021,      0.00158,       0.0018,      0.00208,       0.0027,        0.003,      0.00214,      0.00248,      0.00186,     3.09e-05
        10, 2469.696,    0.005,        0.0064186,       2.5232e-05,        0.0064438,      0.00219,      0.00304,      0.00181,      0.00238,      0.00272,      0.00216,      0.00227,      0.00256,       0.0031,      0.00365,      0.00286,      0.00304,      0.00864,     0.000144,        0.0039077,       1.0599e-06,        0.0039088,      0.00164,      0.00237,      0.00139,       0.0019,        0.002,      0.00151,       0.0017,      0.00201,      0.00253,      0.00284,      0.00206,      0.00236,       0.0018,     2.99e-05
        11, 2714.647,    0.005,        0.0051122,       1.6241e-05,        0.0051284,      0.00192,      0.00271,      0.00162,      0.00223,      0.00233,      0.00198,      0.00204,      0.00232,      0.00296,      0.00318,      0.00264,      0.00278,      0.00673,     0.000112,        0.0035348,       8.8894e-07,        0.0035357,      0.00155,      0.00225,      0.00132,      0.00175,      0.00189,      0.00144,       0.0016,      0.00193,      0.00237,      0.00268,      0.00199,      0.00224,      0.00162,     2.71e-05
        12, 2958.072,    0.005,        0.0048455,       2.7499e-05,         0.004873,      0.00186,      0.00264,      0.00156,      0.00205,      0.00229,      0.00184,      0.00194,      0.00226,      0.00266,      0.00313,       0.0025,      0.00264,       0.0094,     0.000157,        0.0032055,        8.174e-07,        0.0032063,      0.00147,      0.00215,      0.00126,      0.00165,      0.00178,      0.00138,      0.00152,      0.00186,      0.00223,      0.00253,      0.00191,      0.00213,      0.00158,     2.63e-05
        13, 3200.797,    0.005,        0.0049155,       2.4579e-05,        0.0049401,      0.00187,      0.00265,      0.00159,      0.00199,      0.00225,      0.00197,      0.00195,       0.0023,      0.00261,      0.00309,      0.00269,      0.00267,      0.00881,     0.000147,        0.0029824,       7.3277e-07,        0.0029832,      0.00141,      0.00207,      0.00121,      0.00159,       0.0017,      0.00135,      0.00146,      0.00181,      0.00215,      0.00242,      0.00188,      0.00207,      0.00148,     2.46e-05
        14, 3445.611,    0.005,        0.0049003,       2.3099e-05,        0.0049234,       0.0019,      0.00266,      0.00161,      0.00205,      0.00227,      0.00204,      0.00199,      0.00228,       0.0027,       0.0031,      0.00273,       0.0027,      0.00867,     0.000144,        0.0028069,       6.5394e-07,        0.0028075,      0.00137,      0.00201,      0.00118,      0.00153,      0.00164,      0.00133,      0.00142,      0.00176,      0.00207,      0.00234,      0.00184,        0.002,       0.0014,     2.33e-05
        15, 3692.560,    0.005,        0.0046432,       1.4089e-05,        0.0046573,      0.00179,      0.00255,      0.00146,       0.0019,      0.00226,      0.00178,      0.00185,      0.00212,      0.00249,      0.00309,      0.00243,      0.00253,      0.00685,     0.000114,        0.0026309,       5.8573e-07,        0.0026315,      0.00132,      0.00194,      0.00114,      0.00148,      0.00158,       0.0013,      0.00137,      0.00172,        0.002,      0.00225,      0.00181,      0.00194,      0.00133,     2.22e-05
        16, 3937.683,    0.005,        0.0050191,       2.0993e-05,        0.0050401,      0.00188,      0.00269,      0.00163,      0.00196,      0.00222,      0.00203,      0.00196,      0.00234,      0.00254,      0.00312,      0.00278,       0.0027,      0.00744,     0.000124,        0.0025079,        5.398e-07,        0.0025084,      0.00129,       0.0019,      0.00112,      0.00144,      0.00152,      0.00128,      0.00134,      0.00169,      0.00194,      0.00218,      0.00178,       0.0019,      0.00128,     2.13e-05
        17, 4183.172,    0.005,        0.0036174,       9.0768e-06,        0.0036265,      0.00159,      0.00228,      0.00136,      0.00173,      0.00191,      0.00167,      0.00167,        0.002,      0.00227,      0.00263,      0.00231,       0.0023,      0.00519,     8.64e-05,        0.0023404,       4.7587e-07,        0.0023409,      0.00125,      0.00183,      0.00109,       0.0014,      0.00146,      0.00124,       0.0013,      0.00164,      0.00188,      0.00209,      0.00173,      0.00184,       0.0012,     1.99e-05
        18, 4428.344,    0.005,        0.0034919,       8.7837e-06,        0.0035007,      0.00156,      0.00224,       0.0013,      0.00174,      0.00187,      0.00175,      0.00167,      0.00195,      0.00229,      0.00258,       0.0024,       0.0023,      0.00545,     9.08e-05,        0.0022001,       4.1746e-07,        0.0022005,       0.0012,      0.00178,      0.00105,      0.00135,       0.0014,      0.00121,      0.00126,       0.0016,      0.00182,      0.00202,       0.0017,      0.00179,      0.00112,     1.87e-05
        19, 4674.495,    0.005,        0.0034843,       9.1632e-06,        0.0034934,      0.00157,      0.00224,      0.00134,      0.00169,      0.00188,      0.00165,      0.00164,      0.00196,      0.00217,      0.00259,      0.00226,      0.00225,      0.00542,     9.03e-05,        0.0020819,       3.8029e-07,        0.0020823,      0.00117,      0.00173,      0.00103,      0.00132,      0.00135,      0.00118,      0.00122,      0.00157,      0.00176,      0.00195,      0.00166,      0.00174,      0.00108,      1.8e-05
        20, 4920.482,    0.005,        0.0032464,       8.6405e-06,        0.0032551,      0.00151,      0.00216,       0.0013,       0.0017,      0.00177,      0.00165,       0.0016,      0.00191,      0.00222,      0.00245,      0.00224,       0.0022,      0.00521,     8.68e-05,        0.0019739,       3.3784e-07,        0.0019743,      0.00113,      0.00168,     0.000997,      0.00127,      0.00131,      0.00114,      0.00118,      0.00153,      0.00171,      0.00189,      0.00162,      0.00169,      0.00101,     1.68e-05
        21, 5163.867,    0.005,        0.0037309,       1.1226e-05,        0.0037421,      0.00159,      0.00232,      0.00133,       0.0016,      0.00196,      0.00165,      0.00163,        0.002,      0.00211,      0.00273,      0.00232,      0.00229,      0.00593,     9.89e-05,         0.001909,       3.1587e-07,        0.0019093,      0.00111,      0.00166,     0.000982,      0.00125,      0.00129,      0.00112,      0.00116,      0.00151,      0.00169,      0.00185,       0.0016,      0.00166,        0.001,     1.67e-05
        22, 5408.342,    0.005,        0.0036272,       1.0082e-05,        0.0036372,      0.00157,      0.00228,      0.00137,      0.00178,      0.00182,      0.00177,      0.00169,      0.00203,      0.00236,      0.00257,      0.00252,      0.00237,       0.0051,      8.5e-05,        0.0018312,       2.9173e-07,        0.0018315,      0.00109,      0.00162,     0.000959,      0.00124,      0.00125,       0.0011,      0.00114,      0.00149,      0.00167,       0.0018,      0.00158,      0.00163,     0.000977,     1.63e-05
        23, 5653.350,    0.005,        0.0035753,       1.6424e-05,        0.0035918,      0.00158,      0.00227,      0.00133,      0.00172,      0.00189,       0.0018,      0.00168,      0.00198,      0.00226,       0.0026,      0.00243,      0.00232,      0.00716,     0.000119,        0.0017786,       2.5641e-07,        0.0017788,      0.00107,       0.0016,     0.000945,      0.00121,      0.00123,      0.00109,      0.00112,      0.00147,      0.00163,      0.00177,      0.00157,      0.00161,     0.000913,     1.52e-05
        24, 5899.500,    0.005,        0.0033129,       9.6947e-06,        0.0033226,      0.00151,      0.00218,      0.00127,       0.0016,      0.00182,      0.00173,       0.0016,       0.0019,      0.00213,      0.00252,      0.00238,      0.00223,      0.00544,     9.06e-05,        0.0017131,       2.1876e-07,        0.0017133,      0.00104,      0.00157,     0.000925,      0.00119,       0.0012,      0.00107,       0.0011,      0.00145,       0.0016,      0.00173,      0.00155,      0.00158,     0.000849,     1.41e-05
        25, 6145.701,    0.005,        0.0031175,       5.7307e-06,        0.0031232,      0.00143,      0.00208,      0.00118,      0.00168,      0.00173,      0.00169,      0.00157,      0.00181,      0.00223,      0.00237,       0.0023,      0.00218,      0.00426,      7.1e-05,        0.0016442,       2.0464e-07,        0.0016444,      0.00102,      0.00154,     0.000902,      0.00118,      0.00117,      0.00104,      0.00107,      0.00142,      0.00158,      0.00169,      0.00151,      0.00155,     0.000812,     1.35e-05
        26, 6391.306,    0.005,        0.0039573,        1.779e-05,         0.003975,      0.00162,      0.00239,      0.00127,      0.00179,       0.0021,      0.00174,      0.00173,      0.00192,      0.00236,      0.00294,      0.00237,       0.0024,      0.00748,     0.000125,        0.0016242,       2.1936e-07,        0.0016244,      0.00101,      0.00153,     0.000895,      0.00115,      0.00117,      0.00103,      0.00106,      0.00141,      0.00155,      0.00168,      0.00151,      0.00154,     0.000865,     1.44e-05
        27, 6635.796,    0.005,        0.0028224,       7.8736e-06,        0.0028303,      0.00139,      0.00202,      0.00119,      0.00158,      0.00163,      0.00164,      0.00151,      0.00179,      0.00204,      0.00226,      0.00228,      0.00209,      0.00504,     8.41e-05,        0.0015531,         1.79e-07,        0.0015532,     0.000985,      0.00149,     0.000874,      0.00113,      0.00113,        0.001,      0.00103,      0.00139,      0.00152,      0.00164,      0.00148,      0.00151,     0.000774,     1.29e-05
        28, 6883.116,    0.005,        0.0028963,        7.795e-06,        0.0029041,       0.0014,      0.00204,      0.00117,      0.00147,      0.00171,      0.00152,      0.00147,      0.00179,      0.00192,      0.00236,       0.0021,      0.00204,       0.0051,      8.5e-05,        0.0014921,       1.6963e-07,        0.0014923,     0.000958,      0.00146,     0.000851,       0.0011,       0.0011,     0.000975,      0.00101,      0.00137,      0.00148,       0.0016,      0.00145,      0.00148,     0.000772,     1.29e-05
        29, 7129.414,    0.005,        0.0029322,       9.7129e-06,         0.002942,      0.00143,      0.00205,      0.00126,      0.00156,      0.00162,      0.00165,      0.00152,      0.00188,      0.00202,      0.00224,      0.00229,      0.00211,      0.00565,     9.41e-05,        0.0014525,       1.7357e-07,        0.0014527,     0.000948,      0.00145,     0.000848,      0.00109,      0.00108,     0.000967,     0.000996,      0.00136,      0.00147,      0.00157,      0.00144,      0.00146,     0.000779,      1.3e-05
        30, 7374.125,    0.005,        0.0026554,       5.9805e-06,        0.0026614,      0.00134,      0.00196,      0.00115,      0.00148,      0.00158,      0.00154,      0.00144,      0.00175,      0.00191,       0.0022,      0.00211,      0.00199,      0.00433,     7.21e-05,        0.0014127,       1.5262e-07,        0.0014128,      0.00093,      0.00143,      0.00083,      0.00108,      0.00106,      0.00095,      0.00098,      0.00134,      0.00145,      0.00154,      0.00142,      0.00144,     0.000728,     1.21e-05
        31, 7618.976,    0.005,        0.0028539,       1.1558e-05,        0.0028654,       0.0014,      0.00203,      0.00117,      0.00149,      0.00169,      0.00161,      0.00149,      0.00179,      0.00194,      0.00231,      0.00223,      0.00207,      0.00586,     9.77e-05,        0.0013715,       1.5368e-07,        0.0013717,     0.000911,       0.0014,     0.000813,      0.00106,      0.00104,     0.000937,     0.000961,      0.00132,      0.00142,      0.00152,      0.00141,      0.00142,     0.000722,      1.2e-05
        32, 7864.543,    0.005,        0.0027969,        6.956e-06,        0.0028038,      0.00135,      0.00201,       0.0011,      0.00142,      0.00172,      0.00136,       0.0014,      0.00172,      0.00185,      0.00238,      0.00197,      0.00198,      0.00486,      8.1e-05,        0.0013418,       1.3926e-07,        0.0013419,     0.000899,      0.00139,     0.000803,      0.00104,      0.00102,     0.000931,     0.000949,      0.00131,       0.0014,       0.0015,       0.0014,       0.0014,     0.000685,     1.14e-05
        33, 8109.606,    0.005,        0.0024813,        7.972e-06,        0.0024892,       0.0013,      0.00189,      0.00111,      0.00137,      0.00151,      0.00163,       0.0014,      0.00169,      0.00177,      0.00209,      0.00226,      0.00195,       0.0051,      8.5e-05,        0.0013028,       1.3236e-07,        0.0013029,     0.000881,      0.00137,     0.000786,      0.00103,        0.001,     0.000916,     0.000933,      0.00129,      0.00139,      0.00147,      0.00139,      0.00139,     0.000678,     1.13e-05
        34, 8354.224,    0.005,        0.0025889,       7.8453e-06,        0.0025967,      0.00131,      0.00193,      0.00108,      0.00145,      0.00161,      0.00143,      0.00139,      0.00171,      0.00191,       0.0022,      0.00202,      0.00196,      0.00467,     7.79e-05,        0.0012647,       1.3907e-07,        0.0012648,     0.000866,      0.00135,     0.000775,      0.00101,     0.000979,       0.0009,     0.000915,      0.00128,      0.00136,      0.00144,      0.00137,      0.00136,     0.000709,     1.18e-05
        35, 8599.740,    0.005,        0.0023182,       8.8382e-06,        0.0023271,      0.00124,      0.00183,      0.00106,      0.00141,      0.00146,      0.00143,      0.00134,      0.00167,      0.00185,        0.002,      0.00203,      0.00189,      0.00543,     9.05e-05,         0.001228,       1.2496e-07,        0.0012281,     0.000851,      0.00133,     0.000764,     0.000991,     0.000958,     0.000891,     0.000901,      0.00126,      0.00134,      0.00141,      0.00137,      0.00135,     0.000648,     1.08e-05
        36, 8843.360,    0.005,        0.0026081,       5.6637e-06,        0.0026137,      0.00131,      0.00194,      0.00109,       0.0014,      0.00158,      0.00148,      0.00139,       0.0017,      0.00183,      0.00221,      0.00213,      0.00197,      0.00429,     7.15e-05,        0.0012056,       1.2533e-07,        0.0012057,     0.000841,      0.00132,     0.000752,     0.000977,     0.000948,     0.000887,     0.000891,      0.00125,      0.00133,       0.0014,      0.00136,      0.00133,     0.000655,     1.09e-05
        37, 9088.834,    0.005,        0.0026269,       6.8734e-06,        0.0026338,       0.0013,      0.00194,      0.00103,       0.0013,      0.00167,      0.00151,      0.00138,      0.00165,       0.0017,       0.0023,       0.0021,      0.00193,      0.00483,     8.05e-05,        0.0011884,       1.1594e-07,        0.0011885,     0.000833,      0.00131,     0.000745,     0.000962,     0.000941,     0.000876,     0.000881,      0.00124,      0.00131,      0.00139,      0.00135,      0.00132,     0.000632,     1.05e-05
        38, 9335.157,    0.005,        0.0023479,       9.4073e-06,        0.0023573,      0.00125,      0.00184,      0.00106,      0.00127,      0.00151,      0.00138,       0.0013,      0.00164,      0.00166,      0.00208,      0.00197,      0.00184,      0.00525,     8.74e-05,        0.0011586,       1.2951e-07,        0.0011588,      0.00082,      0.00129,     0.000736,     0.000948,     0.000922,     0.000864,     0.000867,      0.00123,      0.00129,      0.00137,      0.00134,      0.00131,     0.000672,     1.12e-05
        39, 9578.188,    0.005,        0.0023516,       5.2312e-06,        0.0023568,      0.00125,      0.00184,      0.00104,      0.00131,       0.0015,      0.00143,      0.00132,      0.00162,      0.00173,      0.00209,      0.00204,      0.00187,       0.0041,     6.84e-05,        0.0011306,       1.0879e-07,        0.0011308,     0.000805,      0.00128,     0.000719,      0.00095,     0.000908,     0.000849,     0.000857,      0.00122,      0.00129,      0.00135,      0.00133,       0.0013,      0.00061,     1.02e-05
        40, 9821.211,    0.005,        0.0021362,       6.1669e-06,        0.0021424,      0.00114,      0.00175,     0.000947,      0.00126,       0.0014,      0.00126,      0.00122,      0.00156,      0.00167,      0.00197,      0.00188,      0.00177,      0.00449,     7.49e-05,        0.0010996,       1.0796e-07,        0.0010997,     0.000787,      0.00126,     0.000704,     0.000929,     0.000887,     0.000828,     0.000837,       0.0012,      0.00126,      0.00132,      0.00131,      0.00127,       0.0006,        1e-05
        41, 10063.715,    0.005,        0.0029489,       7.2538e-06,        0.0029562,       0.0014,      0.00206,      0.00116,      0.00144,      0.00172,      0.00151,      0.00146,      0.00178,      0.00189,      0.00242,      0.00214,      0.00206,      0.00501,     8.34e-05,        0.0011006,       1.0939e-07,        0.0011007,     0.000788,      0.00126,     0.000702,     0.000924,     0.000894,     0.000831,     0.000837,       0.0012,      0.00126,      0.00133,      0.00131,      0.00127,     0.000603,        1e-05
