epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,  193.429,    0.005,          0.35039,        0.0020876,          0.35248,       0.0144,       0.0221,      0.00804,            0,         0.02,      0.00936,       0.0117,            0,       0.0285,       0.0134,       0.0419,       0.0011,         0.063199,         1.05e-05,          0.06321,      0.00683,      0.00939,      0.00431,            0,       0.0091,      0.00447,      0.00547,            0,       0.0119,      0.00578,      0.00343,     9.03e-05
         2,  361.378,    0.005,         0.045885,       0.00022249,         0.046107,       0.0059,      0.00801,      0.00384,            0,      0.00775,      0.00386,      0.00496,            0,      0.00999,      0.00498,       0.0168,     0.000442,         0.031251,       5.5769e-06,         0.031256,      0.00491,       0.0066,      0.00328,            0,      0.00638,      0.00322,      0.00424,            0,      0.00816,      0.00414,      0.00259,     6.81e-05
         3,  528.225,    0.005,         0.027769,        0.0001699,         0.027939,      0.00469,      0.00623,      0.00332,            0,      0.00591,      0.00308,      0.00434,            0,      0.00754,      0.00396,       0.0146,     0.000385,         0.020605,       4.1229e-06,         0.020609,      0.00403,      0.00536,       0.0029,            0,      0.00505,      0.00265,      0.00376,            0,      0.00647,      0.00341,      0.00233,     6.13e-05
         4,  695.325,    0.005,         0.020324,       0.00011552,         0.020439,      0.00404,      0.00533,      0.00304,            0,      0.00495,      0.00266,      0.00395,            0,      0.00632,      0.00342,       0.0124,     0.000326,         0.015754,       3.0029e-06,         0.015757,      0.00351,      0.00469,      0.00259,            0,      0.00434,      0.00231,      0.00341,            0,      0.00559,        0.003,      0.00214,     5.63e-05
         5,  861.310,    0.005,          0.01653,       8.6632e-05,         0.016617,      0.00362,      0.00481,      0.00272,            0,      0.00444,      0.00239,      0.00361,            0,      0.00567,      0.00309,       0.0106,     0.000279,         0.012992,        2.759e-06,         0.012995,      0.00317,      0.00426,      0.00238,            0,      0.00389,      0.00209,       0.0032,            0,      0.00502,      0.00274,      0.00202,     5.31e-05
         6, 1026.949,    0.005,         0.013742,       9.1349e-05,         0.013834,      0.00329,      0.00438,      0.00247,            0,      0.00403,      0.00217,      0.00333,            0,      0.00515,      0.00283,       0.0105,     0.000275,         0.011093,       2.5381e-06,         0.011096,      0.00293,      0.00393,      0.00222,            0,      0.00356,      0.00193,      0.00303,            0,       0.0046,      0.00254,       0.0019,        5e-05
         7, 1192.621,    0.005,         0.012293,       6.1301e-05,         0.012355,      0.00312,      0.00413,      0.00244,            0,      0.00372,      0.00205,      0.00327,            0,      0.00476,      0.00268,      0.00887,     0.000233,        0.0098174,       2.4284e-06,        0.0098199,      0.00274,       0.0037,       0.0021,            0,      0.00332,      0.00181,       0.0029,            0,       0.0043,       0.0024,      0.00183,     4.81e-05
         8, 1356.136,    0.005,         0.012752,       8.2774e-05,         0.012835,      0.00316,      0.00422,      0.00244,            0,      0.00381,      0.00208,       0.0033,            0,      0.00491,      0.00274,      0.00983,     0.000259,        0.0089503,       2.1226e-06,        0.0089524,      0.00261,      0.00353,      0.00202,            0,      0.00314,      0.00172,      0.00281,            0,      0.00408,       0.0023,      0.00176,     4.64e-05
         9, 1518.927,    0.005,         0.010838,       5.9663e-05,         0.010898,      0.00291,      0.00389,      0.00226,            0,      0.00349,      0.00192,      0.00309,            0,      0.00449,      0.00253,      0.00908,     0.000239,        0.0081431,        2.069e-06,        0.0081452,      0.00247,      0.00337,      0.00194,            0,      0.00296,      0.00163,      0.00273,            0,      0.00386,       0.0022,      0.00171,      4.5e-05
        10, 1682.039,    0.005,         0.010187,       4.3053e-05,          0.01023,      0.00281,      0.00377,      0.00221,            0,      0.00335,      0.00185,      0.00303,            0,      0.00434,      0.00245,       0.0069,     0.000182,         0.007484,       2.0259e-06,         0.007486,      0.00236,      0.00323,      0.00187,            0,       0.0028,      0.00156,      0.00266,            0,      0.00368,      0.00211,      0.00169,     4.43e-05
