epoch, wall, LR,training_loss_e,training_loss,training_e/N_mae,validation_loss_e,validation_loss,validation_e/N_mae
         1,   59.443,    0.005,         0.002239,         0.002239,     0.000578,       0.00054315,       0.00054315,     0.000276
         2,  111.061,    0.005,       0.00065418,       0.00065418,     0.000313,       0.00052027,       0.00052027,      0.00027
         3,  162.447,    0.005,       0.00064619,       0.00064619,     0.000322,       0.00051791,       0.00051791,     0.000276
         4,  214.084,    0.005,       0.00062623,       0.00062623,     0.000318,           0.0005,           0.0005,     0.000272
         5,  265.685,    0.005,       0.00069235,       0.00069235,      0.00034,       0.00047944,       0.00047944,     0.000267
         6,  317.187,    0.005,       0.00062925,       0.00062925,     0.000317,       0.00046634,       0.00046634,     0.000259
         7,  368.675,    0.005,       0.00050153,       0.00050153,     0.000285,       0.00042769,       0.00042769,      0.00025
         8,  420.099,    0.005,       0.00039576,       0.00039576,      0.00025,       0.00032439,       0.00032439,     0.000224
         9,  474.006,    0.005,       0.00040881,       0.00040881,     0.000261,       0.00025964,       0.00025964,     0.000205
        10,  528.314,    0.005,         0.000363,         0.000363,     0.000247,       0.00022433,       0.00022433,     0.000192
        11,  582.837,    0.005,       0.00023456,       0.00023456,     0.000198,       0.00018885,       0.00018885,     0.000177
        12,  636.504,    0.005,       0.00016459,       0.00016459,     0.000167,       0.00015224,       0.00015224,     0.000162
        13,  688.636,    0.005,       0.00027394,       0.00027394,     0.000213,       0.00014082,       0.00014082,     0.000154
        14,  742.615,    0.005,       0.00013915,       0.00013915,     0.000158,       0.00012309,       0.00012309,     0.000147
        15,  795.614,    0.005,       0.00012548,       0.00012548,     0.000149,       0.00010727,       0.00010727,     0.000139
        16,  847.211,    0.005,       8.0642e-05,       8.0642e-05,     0.000119,       8.9994e-05,       8.9994e-05,     0.000129
        17,  898.926,    0.005,       0.00010102,       0.00010102,     0.000136,       7.3672e-05,       7.3672e-05,     0.000116
        18,  951.204,    0.005,       5.0782e-05,       5.0782e-05,     9.29e-05,       6.0854e-05,       6.0854e-05,     0.000106
        19, 1002.797,    0.005,       5.1912e-05,       5.1912e-05,     9.46e-05,       5.0356e-05,       5.0356e-05,     9.57e-05
        20, 1054.764,    0.005,       5.7297e-05,       5.7297e-05,     9.88e-05,       4.3382e-05,       4.3382e-05,     8.88e-05
        21, 1106.665,    0.005,       5.8654e-05,       5.8654e-05,     0.000101,       3.8554e-05,       3.8554e-05,     8.35e-05
        22, 1158.243,    0.005,       4.5864e-05,       4.5864e-05,     9.02e-05,       3.4518e-05,       3.4518e-05,     7.86e-05
        23, 1209.897,    0.005,       3.3989e-05,       3.3989e-05,     7.58e-05,       3.0872e-05,       3.0872e-05,     7.42e-05
        24, 1261.337,    0.005,        3.979e-05,        3.979e-05,     8.08e-05,       2.7832e-05,       2.7832e-05,     7.01e-05
        25, 1312.834,    0.005,       6.1537e-05,       6.1537e-05,     0.000104,       2.5832e-05,       2.5832e-05,     6.71e-05
        26, 1364.349,    0.005,       3.8493e-05,       3.8493e-05,     8.24e-05,       2.3366e-05,       2.3366e-05,     6.38e-05
        27, 1415.940,    0.005,       2.9396e-05,       2.9396e-05,      7.2e-05,       2.0956e-05,       2.0956e-05,     6.04e-05
        28, 1467.512,    0.005,       4.4524e-05,       4.4524e-05,     8.85e-05,       1.9803e-05,       1.9803e-05,     5.87e-05
        29, 1518.926,    0.005,       2.4106e-05,       2.4106e-05,     6.28e-05,         1.83e-05,         1.83e-05,     5.54e-05
        30, 1570.467,    0.005,       1.9124e-05,       1.9124e-05,     5.64e-05,       1.7028e-05,       1.7028e-05,     5.29e-05
        31, 1621.986,    0.005,       2.2792e-05,       2.2792e-05,     6.15e-05,       1.6076e-05,       1.6076e-05,     5.11e-05
        32, 1673.541,    0.005,       1.8651e-05,       1.8651e-05,     5.53e-05,       1.5227e-05,       1.5227e-05,     4.93e-05
        33, 1724.874,    0.005,       2.9856e-05,       2.9856e-05,     7.28e-05,       1.4342e-05,       1.4342e-05,     4.76e-05
        34, 1775.881,    0.005,       2.5934e-05,       2.5934e-05,      6.7e-05,       1.4119e-05,       1.4119e-05,     4.72e-05
