epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,            1.105,           1.1032,        0.0018775,         0.029139,         0.039719,         0.019252,         0.038038,         0.028645,         0.025676,         0.049032,         0.037354,         0.061182,          0.00161
    1,     2,          0.88368,          0.88355,       0.00013101,          0.02572,         0.035547,         0.016633,         0.033898,         0.025265,          0.02398,         0.043396,         0.033688,         0.015735,       0.00041408
    1,     3,          0.80583,          0.80541,       0.00042168,         0.025907,         0.033938,         0.016152,         0.034688,          0.02542,         0.020679,         0.042469,         0.031574,         0.028345,       0.00074591
    1,     4,          0.81384,          0.81247,        0.0013736,         0.024556,         0.034087,         0.015133,         0.033037,         0.024085,         0.020851,         0.042618,         0.031735,         0.052771,        0.0013887
    1,     5,          0.82642,          0.82263,        0.0037856,         0.024483,         0.034299,         0.012926,         0.034883,         0.023905,         0.017633,          0.04422,         0.030927,         0.088074,        0.0023177
    1,     6,          0.72249,          0.71763,        0.0048601,         0.023569,         0.032035,         0.014225,         0.031978,         0.023101,         0.019221,         0.040217,         0.029719,         0.098975,        0.0026046
    1,     7,           0.7881,          0.78141,        0.0066889,         0.023815,         0.033429,         0.012385,         0.034102,         0.023244,         0.016335,         0.043394,         0.029865,           0.1173,        0.0030868
    1,     8,          0.61913,          0.61353,        0.0056007,          0.02099,         0.029621,         0.010855,         0.030112,         0.020483,         0.014664,         0.038386,         0.026525,          0.10746,        0.0028279
    1,     9,          0.73704,          0.73212,        0.0049154,         0.023699,         0.032357,         0.011849,         0.034363,         0.023106,         0.015328,         0.042164,         0.028746,          0.10063,        0.0026483
    1,    10,          0.63787,          0.63601,        0.0018572,          0.02134,         0.030159,         0.010279,         0.031295,         0.020787,         0.013716,         0.039482,         0.026599,         0.061304,        0.0016133
    1,    11,          0.70299,          0.70283,       0.00016801,         0.022462,         0.031703,         0.010268,         0.033437,         0.021853,         0.012926,         0.041944,         0.027435,         0.017371,       0.00045712
    1,    12,          0.61149,          0.60998,        0.0015072,         0.020997,         0.029535,        0.0099743,         0.030918,         0.020446,         0.013192,          0.03874,         0.025966,         0.055396,        0.0014578
    1,    13,          0.64252,          0.63577,        0.0067487,         0.020691,         0.030153,         0.010513,         0.029852,         0.020182,         0.013122,         0.039655,         0.026389,          0.11741,        0.0030897
    1,    14,           0.6693,          0.65978,        0.0095156,         0.021656,         0.030717,         0.010675,         0.031539,         0.021107,         0.013486,         0.040362,         0.026924,          0.14006,        0.0036859
    1,    15,          0.67775,          0.66907,        0.0086759,         0.022398,         0.030933,         0.012818,          0.03102,         0.021919,         0.016539,         0.039646,         0.028093,          0.13375,        0.0035198
    1,    16,          0.59486,           0.5892,        0.0056632,         0.020893,         0.029028,         0.010832,         0.029949,          0.02039,         0.013809,         0.037807,         0.025808,          0.10803,         0.002843
    1,    17,          0.61492,          0.61293,        0.0019974,         0.020501,         0.029606,        0.0098207,         0.030113,         0.019967,         0.012813,         0.038957,         0.025885,         0.064087,        0.0016865
    1,    18,          0.65728,          0.65708,       0.00020014,          0.02124,         0.030654,         0.010233,         0.031146,          0.02069,         0.013045,         0.040401,         0.026723,         0.019153,       0.00050402
