epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   56.959,    0.005,          0.47674,        0.0015371,          0.47827,       0.0179,       0.0261,      0.00903,       0.0259,       0.0174,       0.0123,       0.0341,       0.0232,       0.0429,      0.00113,          0.20122,       0.00013158,          0.20135,       0.0119,        0.017,      0.00628,       0.0169,       0.0116,      0.00795,       0.0221,        0.015,       0.0113,     0.000297
         2,   99.836,    0.005,          0.10964,       0.00077043,          0.11041,      0.00896,       0.0125,      0.00523,       0.0123,      0.00878,      0.00673,        0.016,       0.0114,       0.0335,      0.00088,         0.064353,       7.3859e-05,         0.064426,      0.00709,      0.00958,      0.00437,      0.00954,      0.00696,      0.00566,       0.0121,      0.00887,       0.0103,     0.000272
         3,  141.383,    0.005,         0.045314,       0.00018233,         0.045496,      0.00597,      0.00805,      0.00388,      0.00786,      0.00587,      0.00503,         0.01,      0.00752,        0.016,     0.000422,         0.035052,       1.6047e-05,         0.035068,      0.00528,      0.00707,      0.00354,      0.00684,      0.00519,      0.00461,      0.00871,      0.00666,      0.00417,      0.00011
         4,  182.921,    0.005,         0.029499,       9.6073e-05,         0.029595,      0.00488,       0.0065,      0.00339,      0.00623,      0.00481,      0.00438,      0.00793,      0.00616,       0.0111,     0.000292,         0.025067,       1.0724e-05,         0.025078,      0.00449,      0.00598,      0.00315,      0.00569,      0.00442,      0.00412,      0.00726,      0.00569,      0.00406,     0.000107
         5,  224.442,    0.005,         0.023629,       0.00011464,         0.023743,      0.00438,      0.00581,      0.00306,      0.00556,      0.00431,      0.00396,      0.00708,      0.00552,       0.0118,      0.00031,         0.020272,        8.495e-06,         0.020281,      0.00406,      0.00538,      0.00292,      0.00509,        0.004,      0.00381,      0.00647,      0.00514,      0.00347,     9.14e-05
         6,  265.980,    0.005,         0.019642,       6.9183e-05,         0.019711,        0.004,       0.0053,      0.00285,      0.00503,      0.00394,      0.00369,      0.00641,      0.00505,      0.00982,     0.000258,         0.017265,       8.7236e-06,         0.017274,      0.00375,      0.00496,      0.00273,      0.00467,       0.0037,      0.00357,      0.00594,      0.00476,      0.00349,     9.18e-05
         7,  307.516,    0.005,         0.016846,       5.6128e-05,         0.016902,       0.0037,      0.00491,      0.00268,      0.00463,      0.00365,      0.00348,       0.0059,      0.00469,      0.00865,     0.000228,         0.015203,       8.8904e-06,         0.015212,      0.00352,      0.00466,      0.00259,      0.00436,      0.00347,       0.0034,      0.00555,      0.00447,      0.00347,     9.13e-05
         8,  349.065,    0.005,         0.016884,       6.2672e-05,         0.016947,      0.00372,      0.00491,       0.0027,      0.00465,      0.00367,      0.00349,      0.00591,       0.0047,      0.00943,     0.000248,         0.013765,       8.6481e-06,         0.013773,      0.00335,      0.00443,      0.00248,      0.00414,      0.00331,      0.00326,      0.00527,      0.00426,      0.00338,      8.9e-05
         9,  390.621,    0.005,         0.014567,       4.3885e-05,         0.014611,      0.00344,      0.00456,      0.00247,      0.00432,       0.0034,      0.00322,       0.0055,      0.00436,      0.00745,     0.000196,         0.012599,       8.2028e-06,         0.012607,       0.0032,      0.00424,      0.00238,      0.00395,      0.00316,      0.00314,      0.00503,      0.00408,      0.00336,     8.85e-05
        10,  432.154,    0.005,         0.013464,       5.2547e-05,         0.013516,      0.00331,      0.00439,       0.0024,      0.00413,      0.00326,      0.00314,      0.00526,       0.0042,      0.00777,     0.000204,         0.011628,       7.9557e-06,         0.011636,      0.00308,      0.00407,      0.00229,      0.00378,      0.00304,      0.00303,      0.00482,      0.00393,      0.00333,     8.76e-05
