epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,          0.96944,          0.95694,         0.012496,           22.506,           29.955,            13.71,           32.559,           23.134,           17.646,           39.584,           28.615,           51.231,           3.4154
    1,     2,          0.86491,          0.85966,        0.0052422,           20.772,           28.391,            13.65,           28.911,           21.281,           17.917,           36.884,             27.4,           33.184,           2.2123
    1,     3,            1.218,           1.2127,        0.0053113,           22.609,            33.72,           16.262,           29.863,           23.063,           24.945,           41.538,           33.242,           32.519,           2.1679
    1,     4,          0.97974,          0.97565,        0.0040891,            22.73,           30.246,           16.305,           30.072,           23.189,            22.56,            37.13,           29.845,             28.7,           1.9133
    1,     5,          0.76634,          0.76329,        0.0030496,           20.082,           26.752,            12.89,           28.301,           20.596,           16.626,           34.896,           25.761,           25.078,           1.6719
    1,     6,          0.91344,          0.90978,         0.003665,           21.282,           29.207,           14.064,            29.53,           21.797,           18.843,           37.712,           28.277,           27.266,           1.8177
    1,     7,           0.8599,          0.85605,        0.0038491,           20.943,           28.331,             13.9,           28.992,           21.446,           18.238,           36.604,           27.421,           28.075,           1.8717
    1,     8,           1.0138,           1.0076,        0.0061718,           21.159,           30.737,           12.587,           30.956,           21.772,           16.852,           41.231,           29.041,           35.225,           2.3483
    1,     9,          0.63897,          0.63227,        0.0066916,           17.923,           24.349,           13.055,           23.487,           18.271,            15.97,           31.287,           23.629,           37.497,           2.4998
    1,    10,          0.56575,          0.55596,         0.009787,           16.343,           22.832,           11.712,           21.635,           16.673,           15.789,           28.847,           22.318,           45.059,            3.004
    1,    11,          0.80942,          0.79381,         0.015605,           19.755,           27.282,           11.584,           29.094,           20.339,           14.755,            36.69,           25.722,           56.888,           3.7925
    1,    12,          0.54829,          0.52594,         0.022354,           15.318,           22.207,           8.7008,            22.88,            15.79,           11.935,           29.899,           20.917,           68.634,           4.5756
    1,    13,          0.47499,          0.44292,         0.032075,           14.658,           20.379,           9.1214,           20.986,           15.054,           11.293,            27.28,           19.286,           82.209,           5.4806
    1,    14,          0.37585,          0.33393,         0.041921,            12.99,           17.695,           7.3233,           19.466,           13.395,           9.2311,           23.949,            16.59,           93.997,           6.2665
    1,    15,          0.43732,          0.38393,         0.053389,           13.133,           18.974,           7.4712,           19.603,           13.537,           9.5434,           25.833,           17.688,           106.12,           7.0744
    1,    16,          0.33829,          0.28518,         0.053105,           11.327,           16.352,           6.0804,           17.323,           11.702,           7.6993,           22.478,           15.089,            105.8,           7.0533
    1,    17,          0.35377,           0.3098,         0.043965,           11.869,           17.044,           6.8508,           17.603,           12.227,           8.8206,           23.099,            15.96,           96.262,           6.4175
    1,    18,          0.27003,          0.24569,         0.024336,           11.013,           15.178,           7.0153,           15.581,           11.298,            9.095,           19.978,           14.536,             71.5,           4.7667
    1,    19,          0.28715,           0.2807,         0.006454,           12.399,           16.223,           9.7809,           15.391,           12.586,            11.77,           20.141,           15.956,           36.725,           2.4483
    1,    20,          0.23858,          0.23799,       0.00058376,           11.779,           14.938,           9.2054,           14.721,           11.963,           11.759,           17.893,           14.826,           10.794,          0.71958
    2,     1,          0.28259,          0.26888,         0.013709,           11.471,           15.878,           8.0264,           15.408,           11.717,           10.115,           20.575,           15.345,           53.759,            3.584
    2,     2,          0.29657,          0.26177,         0.034802,           11.713,           15.667,           7.5359,           16.487,           12.011,           9.5853,           20.517,           15.051,           85.616,           5.7077
    2,     3,          0.26559,          0.21342,         0.052176,           10.227,           14.146,           5.9138,           15.157,           10.535,            7.981,           18.868,           13.425,           104.89,           6.9925
    2,     4,          0.22416,          0.17154,         0.052617,           9.1915,           12.682,           5.5784,           13.321,           9.4495,           7.4788,           16.755,           12.117,           105.32,           7.0215
    2,     5,          0.21833,          0.17337,          0.04496,           9.3238,            12.75,           5.5351,           13.654,           9.5944,           6.9001,           17.145,           12.022,           97.356,           6.4904
    2,     6,          0.25253,          0.22479,         0.027744,           11.199,           14.518,           7.2924,           15.664,           11.478,           8.7188,           19.099,           13.909,           76.459,           5.0973
    2,     7,          0.18903,          0.17732,         0.011714,           9.9005,           12.894,           6.7261,           13.528,           10.127,           8.5701,           16.502,           12.536,           49.544,           3.3029
    2,     8,          0.20946,          0.20745,        0.0020052,           10.633,           13.947,           7.3761,           14.355,           10.866,           8.9315,           18.046,           13.489,           20.278,           1.3519
    2,     9,          0.22331,          0.22297,       0.00034493,           11.012,           14.459,           7.4412,           15.094,           11.267,           9.3108,           18.679,           13.995,           7.6969,          0.51313
