epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, B_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, B_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,           1.0636,           1.0634,        0.0001952,         0.028597,         0.038718,         0.018624,                0,         0.037572,         0.018732,         0.024372,                0,         0.048101,         0.024158,         0.016321,       0.00042949
    1,     2,          0.95124,          0.95062,        0.0006239,         0.027204,         0.036608,         0.017861,                0,         0.035613,         0.017824,         0.024362,                0,         0.044856,         0.023073,           0.0302,       0.00079474
    1,     3,          0.96827,          0.96725,        0.0010153,         0.027615,         0.036927,         0.019157,                0,         0.035227,         0.018128,         0.025241,                0,         0.044915,         0.023385,         0.041589,        0.0010945
    1,     4,           1.0311,           1.0299,        0.0011955,         0.029164,         0.038104,         0.020221,                0,         0.037213,         0.019145,         0.026512,                0,         0.046109,         0.024207,         0.047583,        0.0012522
    1,     5,           0.9368,          0.93536,        0.0014361,         0.026006,         0.036313,         0.015659,                0,         0.035317,         0.016992,         0.020455,                0,         0.046139,         0.022198,         0.052747,        0.0013881
    1,     6,           0.9794,          0.97767,        0.0017334,         0.028109,         0.037125,         0.020428,                0,         0.035023,         0.018483,         0.026611,                0,         0.044513,         0.023708,         0.057178,        0.0015047
    1,     7,          0.83445,          0.83225,        0.0022032,         0.024609,         0.034253,         0.017595,                0,         0.030921,         0.016172,         0.022396,                0,         0.042163,          0.02152,         0.061194,        0.0016104
    1,     8,          0.91901,          0.91647,        0.0025398,          0.02619,         0.035944,         0.017601,                0,          0.03392,         0.017174,         0.023129,                0,         0.044422,         0.022517,         0.068921,        0.0018137
    1,     9,           1.0713,            1.067,         0.004239,         0.029238,         0.038784,          0.01903,                0,         0.038426,         0.019152,         0.025951,                0,         0.047455,         0.024468,         0.092383,        0.0024311
    1,    10,          0.94846,          0.94352,        0.0049363,         0.026174,         0.036471,         0.015249,                0,         0.036005,         0.017085,         0.020073,                0,         0.046525,         0.022199,         0.099792,        0.0026261
    1,    11,           0.9176,          0.91175,        0.0058447,         0.026085,         0.035851,         0.016261,                0,         0.034926,         0.017062,            0.022,                0,         0.044794,         0.022265,          0.10819,        0.0028471
    1,    12,          0.98855,           0.9815,        0.0070458,         0.026935,         0.037198,         0.017176,                0,         0.035718,         0.017631,         0.023244,                0,         0.046289,         0.023178,          0.11947,         0.003144
    1,    13,           1.0592,           1.0487,         0.010459,         0.028841,          0.03845,         0.019389,                0,         0.037347,         0.018912,         0.025276,                0,         0.047265,          0.02418,          0.14579,        0.0038365
    1,    14,            1.019,            1.004,          0.01496,         0.027358,         0.037622,         0.017693,                0,         0.036057,         0.017917,         0.024004,                0,         0.046591,         0.023532,          0.17413,        0.0045825
    1,    15,          0.88484,          0.86715,          0.01769,          0.02577,         0.034963,         0.017271,                0,          0.03342,         0.016897,         0.023007,                0,         0.042968,         0.021992,           0.1891,        0.0049763
    1,    16,          0.79438,          0.77224,         0.022141,         0.024009,         0.032995,         0.014139,                0,         0.032892,         0.015677,         0.019047,                0,         0.041736,         0.020261,          0.21202,        0.0055796
    1,    17,          0.48852,          0.46495,         0.023578,         0.018154,         0.025602,          0.01045,                0,         0.025089,         0.011846,         0.014101,                0,         0.032656,         0.015586,          0.21808,        0.0057389
