epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   14.779,    0.005,          0.37304,        0.0040537,          0.37709,        0.015,        0.023,      0.00848,            0,       0.0209,      0.00979,       0.0123,            0,       0.0294,       0.0139,       0.0621,      0.00163,         0.072257,       1.2292e-05,         0.072269,      0.00734,       0.0101,      0.00452,            0,      0.00988,       0.0048,      0.00586,            0,       0.0127,       0.0062,      0.00394,     0.000104
         2,   23.360,    0.005,         0.040071,         0.000127,         0.040198,      0.00553,      0.00752,      0.00358,            0,      0.00728,      0.00362,      0.00468,            0,      0.00936,      0.00468,       0.0123,     0.000323,         0.027446,       5.1639e-06,         0.027452,      0.00457,      0.00622,      0.00306,            0,      0.00594,        0.003,      0.00408,            0,      0.00765,      0.00391,      0.00264,     6.94e-05
         3,   32.536,    0.005,         0.025567,       9.9823e-05,         0.025666,       0.0045,      0.00601,      0.00314,            0,      0.00571,      0.00295,      0.00412,            0,       0.0073,      0.00381,       0.0115,     0.000302,         0.019849,        3.646e-06,         0.019853,      0.00388,      0.00529,       0.0027,            0,      0.00494,      0.00255,      0.00366,            0,      0.00641,      0.00336,       0.0023,     6.04e-05
         4,   42.141,    0.005,          0.01975,       0.00011596,         0.019866,      0.00396,      0.00528,      0.00287,            0,      0.00494,       0.0026,       0.0038,            0,      0.00631,      0.00337,       0.0127,     0.000334,         0.016017,       2.9711e-06,          0.01602,      0.00349,      0.00475,      0.00248,            0,      0.00439,      0.00229,      0.00342,            0,      0.00569,      0.00304,        0.002,     5.26e-05
         5,   51.712,    0.005,         0.015097,       4.5934e-05,         0.015143,      0.00345,      0.00461,      0.00251,            0,      0.00431,      0.00227,      0.00338,            0,       0.0055,      0.00296,      0.00761,       0.0002,         0.013431,       2.7017e-06,         0.013434,       0.0032,      0.00435,      0.00233,            0,      0.00398,       0.0021,      0.00324,            0,      0.00515,       0.0028,        0.002,     5.26e-05
         6,   61.269,    0.005,         0.013774,       7.9623e-05,         0.013853,      0.00332,      0.00441,      0.00247,            0,      0.00408,      0.00218,      0.00333,            0,      0.00519,      0.00284,         0.01,     0.000263,         0.011578,       2.7248e-06,         0.011581,      0.00296,      0.00404,       0.0022,            0,      0.00365,      0.00195,       0.0031,            0,      0.00473,      0.00261,      0.00206,     5.41e-05
         7,   70.839,    0.005,         0.012228,       5.8835e-05,         0.012287,       0.0031,      0.00415,      0.00233,            0,      0.00379,      0.00204,      0.00318,            0,      0.00486,      0.00268,      0.00871,     0.000229,         0.010194,       2.6789e-06,         0.010196,      0.00277,      0.00379,      0.00209,            0,      0.00338,      0.00182,      0.00299,            0,      0.00439,      0.00246,        0.002,     5.25e-05
         8,   80.437,    0.005,          0.01128,       5.8089e-05,         0.011338,        0.003,      0.00399,      0.00231,            0,      0.00361,      0.00197,      0.00315,            0,      0.00462,      0.00259,      0.00878,     0.000231,        0.0090751,       2.7046e-06,        0.0090778,       0.0026,      0.00358,        0.002,            0,      0.00315,      0.00171,      0.00288,            0,       0.0041,      0.00233,      0.00198,      5.2e-05
         9,   90.036,    0.005,          0.01018,       5.9259e-05,         0.010239,      0.00285,      0.00379,      0.00221,            0,      0.00341,      0.00188,      0.00302,            0,      0.00437,      0.00246,      0.00892,     0.000235,        0.0082135,       2.6926e-06,        0.0082162,      0.00246,       0.0034,      0.00192,            0,      0.00295,      0.00162,      0.00279,            0,      0.00387,      0.00222,      0.00199,     5.25e-05
        10,   99.649,    0.005,        0.0090811,       5.8098e-05,        0.0091392,      0.00265,      0.00358,      0.00206,            0,      0.00318,      0.00175,      0.00286,            0,      0.00412,      0.00233,      0.00869,     0.000229,        0.0075066,       2.6551e-06,        0.0075093,      0.00233,      0.00325,      0.00184,            0,      0.00277,      0.00154,      0.00271,            0,      0.00367,      0.00213,      0.00191,     5.02e-05
        11,  109.247,    0.005,        0.0083553,       3.6697e-05,         0.008392,      0.00254,      0.00343,      0.00198,            0,      0.00303,      0.00167,      0.00278,            0,      0.00393,      0.00224,      0.00682,     0.000179,        0.0068837,       2.4441e-06,        0.0068862,      0.00222,      0.00312,      0.00178,            0,      0.00261,      0.00146,      0.00264,            0,      0.00349,      0.00204,      0.00185,     4.87e-05
        12,  118.920,    0.005,        0.0084309,       2.5071e-05,        0.0084559,      0.00257,      0.00345,      0.00202,            0,      0.00306,      0.00169,       0.0028,            0,      0.00394,      0.00225,      0.00534,      0.00014,        0.0063896,       2.3057e-06,        0.0063919,      0.00213,        0.003,      0.00173,            0,      0.00249,       0.0014,      0.00257,            0,      0.00335,      0.00197,      0.00179,     4.71e-05
        13,  128.550,    0.005,        0.0076222,        2.851e-05,        0.0076507,      0.00242,      0.00328,      0.00195,            0,      0.00284,       0.0016,      0.00272,            0,      0.00371,      0.00214,      0.00612,     0.000161,        0.0059443,       2.1029e-06,        0.0059464,      0.00204,       0.0029,      0.00168,            0,      0.00237,      0.00135,       0.0025,            0,      0.00321,       0.0019,      0.00171,     4.51e-05
        14,  138.197,    0.005,        0.0068232,       1.5726e-05,        0.0068389,      0.00228,       0.0031,      0.00186,            0,      0.00266,      0.00151,       0.0026,            0,      0.00349,      0.00203,      0.00448,     0.000118,        0.0055382,       2.0055e-06,        0.0055402,      0.00196,       0.0028,      0.00163,            0,      0.00225,      0.00129,      0.00245,            0,      0.00308,      0.00184,      0.00164,     4.33e-05
        15,  147.817,    0.005,        0.0063137,       1.7411e-05,        0.0063311,      0.00218,      0.00298,      0.00178,            0,      0.00255,      0.00144,      0.00251,            0,      0.00335,      0.00195,      0.00445,     0.000117,        0.0051691,       1.8023e-06,        0.0051709,      0.00188,       0.0027,      0.00158,            0,      0.00215,      0.00124,      0.00238,            0,      0.00296,      0.00178,      0.00156,      4.1e-05
        16,  157.395,    0.005,        0.0064092,       2.6513e-05,        0.0064357,      0.00221,      0.00301,      0.00179,            0,      0.00259,      0.00146,       0.0025,            0,       0.0034,      0.00197,      0.00611,     0.000161,        0.0048512,       1.5555e-06,        0.0048528,      0.00181,      0.00262,      0.00154,            0,      0.00206,       0.0012,      0.00232,            0,      0.00285,      0.00173,      0.00145,     3.82e-05
        17,  166.980,    0.005,        0.0059358,       1.5479e-05,        0.0059513,      0.00214,      0.00289,      0.00176,            0,      0.00247,      0.00141,      0.00245,            0,      0.00324,       0.0019,      0.00439,     0.000115,        0.0046082,       1.3902e-06,        0.0046096,      0.00176,      0.00255,       0.0015,            0,        0.002,      0.00116,      0.00228,            0,      0.00277,      0.00168,      0.00141,      3.7e-05
